year,santiago_avg_temp,global_avg_temp
1855,2.57,8.11
1856,5.00,8.00
1857,5.10,7.76
1858,5.10,8.10
1859,5.60,8.25
1860,5.25,7.96
1861,4.84,7.85
1862,4.79,7.56
1863,4.51,8.11
1864,4.99,7.98
1865,5.45,8.18
1866,5.35,8.29
1867,5.07,8.44
1868,5.26,8.25
1869,4.95,8.43
1870,4.84,8.20
1871,4.65,8.12
1872,4.82,8.19
1873,5.21,8.35
1874,4.76,8.43
1875,5.01,7.86
1876,5.74,8.08
1877,6.34,8.54
1878,5.59,8.83
1879,5.90,8.17
1880,5.83,8.12
1881,5.17,8.27
1882,5.47,8.13
1883,5.10,7.98
1884,5.11,7.77
1885,4.74,7.92
1886,5.17,7.95
1887,5.41,7.91
1888,5.70,8.09
1889,4.51,8.32
1890,5.16,7.97
1891,5.57,8.02
1892,4.99,8.07
1893,4.97,8.06
1894,5.34,8.16
1895,5.54,8.15
1896,6.26,8.21
1897,5.69,8.29
1898,4.88,8.18
1899,5.93,8.40
1900,5.94,8.50
1901,5.78,8.54
1902,5.83,8.30
1903,5.44,8.22
1904,5.68,8.09
1905,5.66,8.23
1906,5.76,8.38
1907,5.11,7.95
1908,5.56,8.19
1909,5.27,8.18
1910,5.14,8.22
1911,5.19,8.18
1912,5.73,8.17
1913,6.23,8.30
1914,5.52,8.59
1915,5.78,8.59
1916,5.29,8.23
1917,5.56,8.02
1918,5.50,8.13
1919,5.91,8.38
1920,5.68,8.36
1921,5.27,8.57
1922,5.18,8.41
1923,5.07,8.42
1924,5.42,8.51
1925,5.83,8.53
1926,6.09,8.73
1927,5.78,8.52
1928,5.30,8.63
1929,5.76,8.24
1930,6.23,8.63
1931,5.48,8.72
1932,5.92,8.71
1933,5.58,8.34
1934,5.28,8.63
1935,5.77,8.52
1936,5.62,8.55
1937,5.65,8.70
1938,5.30,8.86
1939,5.95,8.76
1940,5.74,8.76
1941,5.50,8.77
1942,5.39,8.73
1943,5.74,8.76
1944,6.33,8.85
1945,6.29,8.58
1946,5.81,8.68
1947,5.92,8.80
1948,5.62,8.75
1949,5.63,8.59
1950,5.71,8.37
1951,6.04,8.63
1952,6.09,8.64
1953,6.00,8.87
1954,5.41,8.56
1955,5.11,8.63
1956,4.94,8.28
1957,5.74,8.73
1958,5.89,8.77
1959,5.64,8.73
1960,6.20,8.58
1961,6.16,8.80
1962,5.98,8.75
